,year,months,state,colony_n,colony_max,colony_lost,colony_lost_pct,colony_added,colony_reno,colony_reno_pct,gross_gain,net_gain
236,2016,April-June,Arizona,22000.0,23000.0,3700.0,16.0,14000.0,1600.0,7.0,15600.0,11900.0
237,2016,April-June,Arkansas,24000.0,24000.0,3400.0,14.0,12000.0,1600.0,7.0,13600.0,10200.0
238,2016,April-June,California,1110000.0,1150000.0,108000.0,9.0,240000.0,185000.0,16.0,425000.0,317000.0
239,2016,April-June,Colorado,9500.0,29000.0,1800.0,6.0,9000.0,680.0,2.0,9680.0,7880.0
240,2016,April-June,Connecticut,2500.0,2500.0,100.0,4.0,390.0,60.0,2.0,450.0,350.0
241,2016,April-June,Florida,240000.0,240000.0,29000.0,12.0,43000.0,21000.0,9.0,64000.0,35000.0
242,2016,April-June,Georgia,108000.0,111000.0,11000.0,10.0,17500.0,3600.0,3.0,21100.0,10100.0
243,2016,April-June,Hawaii,13500.0,13500.0,830.0,6.0,870.0,0.0,,870.0,40.0
244,2016,April-June,Idaho,60000.0,80000.0,6000.0,8.0,19000.0,5500.0,7.0,24500.0,18500.0
245,2016,April-June,Illinois,9000.0,9000.0,740.0,8.0,2200.0,380.0,4.0,2580.0,1840.0
246,2016,April-June,Indiana,4300.0,7000.0,220.0,3.0,2700.0,900.0,13.0,3600.0,3380.0
247,2016,April-June,Iowa,10500.0,26000.0,2400.0,9.0,26000.0,760.0,3.0,26760.0,24360.0
248,2016,April-June,Kansas,4700.0,6000.0,960.0,16.0,3000.0,900.0,15.0,3900.0,2940.0
249,2016,April-June,Kentucky,5500.0,6000.0,450.0,8.0,2100.0,270.0,5.0,2370.0,1920.0
250,2016,April-June,Louisiana,52000.0,53000.0,4300.0,8.0,10000.0,9500.0,18.0,19500.0,15200.0
251,2016,April-June,Maine,3600.0,25000.0,4200.0,17.0,510.0,560.0,2.0,1070.0,-3130.0
